Households,"Households: Less than $2,500","Households: $2,500 to $4,999","Households: $5,000 to $7,499","Households: $7,500 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $49,999","Households: $50,000 to $74,999","Households: $75,000 or more","% Households: Less than $2,500","% Households: $2,500 to $4,999","% Households: $5,000 to $7,499","% Households: $7,500 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 or more"
8312,740,1263,984,979,797,576,559,548,432,315,299,214,287,124,91,74,30,8.9,15.19,11.84,11.78,9.59,6.93,6.73,6.59,5.2,3.79,3.6,2.57,3.45,1.49,1.09,0.89,0.36
39212,1670,3209,2850,2971,3181,2880,2968,2897,3074,2435,2119,1875,2713,1743,1485,796,346,4.26,8.18,7.27,7.58,8.11,7.34,7.57,7.39,7.84,6.21,5.4,4.78,6.92,4.45,3.79,2.03,0.88
15917,625,1044,1330,1354,1297,1286,1523,1223,1375,977,902,659,891,581,411,340,99,3.93,6.56,8.36,8.51,8.15,8.08,9.57,7.68,8.64,6.14,5.67,4.14,5.6,3.65,2.58,2.14,0.62
35843,1121,3085,2747,2774,2971,2697,2970,2708,3049,2338,2099,1713,2411,1264,1067,616,213,3.13,8.61,7.66,7.74,8.29,7.52,8.29,7.56,8.51,6.52,5.86,4.78,6.73,3.53,2.98,1.72,0.59
18383,1368,2236,2418,1813,1844,1519,1278,1220,1013,743,670,510,704,395,392,211,49,7.44,12.16,13.15,9.86,10.03,8.26,6.95,6.64,5.51,4.04,3.64,2.77,3.83,2.15,2.13,1.15,0.27
14558,424,873,1041,1200,1151,1236,1371,1209,1234,1055,811,638,956,563,471,251,74,2.91,6,7.15,8.24,7.91,8.49,9.42,8.3,8.48,7.25,5.57,4.38,6.57,3.87,3.24,1.72,0.51
30318,1257,2956,2725,2306,2245,2062,2599,2127,2451,1823,1870,1414,1927,1085,851,531,89,4.15,9.75,8.99,7.61,7.4,6.8,8.57,7.02,8.08,6.01,6.17,4.66,6.36,3.58,2.81,1.75,0.29
10697,587,1091,1085,959,781,847,952,857,869,515,541,361,536,266,232,154,64,5.49,10.2,10.14,8.97,7.3,7.92,8.9,8.01,8.12,4.81,5.06,3.37,5.01,2.49,2.17,1.44,0.6
87930,3285,6480,5639,6174,6072,5157,6242,5896,6704,5756,5600,4614,7041,5206,4700,2709,655,3.74,7.37,6.41,7.02,6.91,5.86,7.1,6.71,7.62,6.55,6.37,5.25,8.01,5.92,5.35,3.08,0.74
8561,433,664,682,596,800,701,702,707,743,569,438,377,487,230,270,137,25,5.06,7.76,7.97,6.96,9.34,8.19,8.2,8.26,8.68,6.65,5.12,4.4,5.69,2.69,3.15,1.6,0.29
