Households,"Households: Less than $5,000","Households: $5,000 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $32,499","Households: $32,500 to $34,999","Households: $35,000 to $37,499","Households: $37,500 to $39,999","Households: $40,000 to $42,499","Households: $42,500 to $44,999","Households: $45,000 to $47,499","Households: $47,500 to $49,999","Households: $50,000 to $54,999","Households: $55,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 or more","% Households: Less than $5,000","% Households: $5,000 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $32,499","% Households: $32,500 to $34,999","% Households: $35,000 to $37,499","% Households: $37,500 to $39,999","% Households: $40,000 to $42,499","% Households: $42,500 to $44,999","% Households: $45,000 to $47,499","% Households: $47,500 to $49,999","% Households: $50,000 to $54,999","% Households: $55,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 or more"
4141,290,620,237,251,267,214,296,195,253,205,216,141,156,102,141,99,90,78,95,27,103,44,9,3,9,7,14.97,5.72,6.06,6.45,5.17,7.15,4.71,6.11,4.95,5.22,3.4,3.77,2.46,3.4,2.39,2.17,1.88,2.29,0.65,2.49,1.06,0.22,0.07,0.22
15174,506,1264,608,689,665,656,772,594,792,664,693,462,594,500,635,436,655,404,810,582,1084,773,172,68,96,3.33,8.33,4.01,4.54,4.38,4.32,5.09,3.91,5.22,4.38,4.57,3.04,3.91,3.3,4.18,2.87,4.32,2.66,5.34,3.84,7.14,5.09,1.13,0.45,0.63
7277,358,662,359,290,417,339,331,339,433,327,477,294,345,312,287,182,159,182,361,223,417,115,22,23,23,4.92,9.1,4.93,3.99,5.73,4.66,4.55,4.66,5.95,4.49,6.55,4.04,4.74,4.29,3.94,2.5,2.18,2.5,4.96,3.06,5.73,1.58,0.3,0.32,0.32
11293,1156,1429,683,590,680,659,741,512,552,426,520,401,336,374,318,308,226,223,352,230,385,104,62,12,14,10.24,12.65,6.05,5.22,6.02,5.84,6.56,4.53,4.89,3.77,4.6,3.55,2.98,3.31,2.82,2.73,2,1.97,3.12,2.04,3.41,0.92,0.55,0.11,0.12
15664,892,1334,752,731,772,889,706,777,759,609,861,643,731,506,570,349,529,485,687,568,900,442,79,47,46,5.69,8.52,4.8,4.67,4.93,5.68,4.51,4.96,4.85,3.89,5.5,4.1,4.67,3.23,3.64,2.23,3.38,3.1,4.39,3.63,5.75,2.82,0.5,0.3,0.29
8858,1247,1432,484,580,427,326,583,358,343,276,377,224,279,159,274,227,183,134,295,134,289,163,58,6,0,14.08,16.17,5.46,6.55,4.82,3.68,6.58,4.04,3.87,3.12,4.26,2.53,3.15,1.79,3.09,2.56,2.07,1.51,3.33,1.51,3.26,1.84,0.65,0.07,0
49359,2770,4078,2177,1998,2200,2276,2379,2086,2371,2070,2712,1700,1905,1557,1906,1544,1788,1151,2381,1808,3312,1810,735,296,349,5.61,8.26,4.41,4.05,4.46,4.61,4.82,4.23,4.8,4.19,5.49,3.44,3.86,3.15,3.86,3.13,3.62,2.33,4.82,3.66,6.71,3.67,1.49,0.6,0.71
14361,584,1190,770,702,780,676,837,773,847,657,706,561,553,492,606,419,488,311,675,455,694,410,105,33,37,4.07,8.29,5.36,4.89,5.43,4.71,5.83,5.38,5.9,4.57,4.92,3.91,3.85,3.43,4.22,2.92,3.4,2.17,4.7,3.17,4.83,2.85,0.73,0.23,0.26
11136,374,766,503,371,370,460,528,466,643,478,611,469,586,504,551,382,464,381,558,416,721,414,63,19,38,3.36,6.88,4.52,3.33,3.32,4.13,4.74,4.18,5.77,4.29,5.49,4.21,5.26,4.53,4.95,3.43,4.17,3.42,5.01,3.74,6.47,3.72,0.57,0.17,0.34
47859,2873,4357,2559,2322,2402,2445,2619,2287,2217,2047,2167,1833,1934,1542,1872,1331,1483,1091,2018,1632,2614,1373,374,91,376,6,9.1,5.35,4.85,5.02,5.11,5.47,4.78,4.63,4.28,4.53,3.83,4.04,3.22,3.91,2.78,3.1,2.28,4.22,3.41,5.46,2.87,0.78,0.19,0.79
24313,2159,3007,1354,1218,1253,1095,1374,975,1201,892,1141,756,870,720,892,570,561,491,869,674,1247,581,230,54,129,8.88,12.37,5.57,5.01,5.15,4.5,5.65,4.01,4.94,3.67,4.69,3.11,3.58,2.96,3.67,2.34,2.31,2.02,3.57,2.77,5.13,2.39,0.95,0.22,0.53
22503,1023,1972,1126,1011,1008,917,1209,1062,1380,871,1149,1017,1020,810,920,678,673,636,1090,787,1158,564,225,65,132,4.55,8.76,5,4.49,4.48,4.08,5.37,4.72,6.13,3.87,5.11,4.52,4.53,3.6,4.09,3.01,2.99,2.83,4.84,3.5,5.15,2.51,1,0.29,0.59
29816,3694,5274,2224,1765,1898,1397,1508,1056,1228,1071,1189,788,847,607,788,544,445,465,688,473,972,484,192,82,137,12.39,17.69,7.46,5.92,6.37,4.69,5.06,3.54,4.12,3.59,3.99,2.64,2.84,2.04,2.64,1.82,1.49,1.56,2.31,1.59,3.26,1.62,0.64,0.28,0.46
21361,1180,2003,1180,1136,1125,1111,1116,992,1053,902,1123,806,1028,856,774,631,577,571,844,559,1010,510,122,57,95,5.52,9.38,5.52,5.32,5.27,5.2,5.22,4.64,4.93,4.22,5.26,3.77,4.81,4.01,3.62,2.95,2.7,2.67,3.95,2.62,4.73,2.39,0.57,0.27,0.44
15714,611,1116,657,660,716,708,896,737,799,679,748,604,724,493,807,551,622,441,647,662,943,519,143,62,169,3.89,7.1,4.18,4.2,4.56,4.51,5.7,4.69,5.08,4.32,4.76,3.84,4.61,3.14,5.14,3.51,3.96,2.81,4.12,4.21,6,3.3,0.91,0.39,1.08
