COUNTY,Population over 25 years old,Middle School,High School,College,% Middle School,% High School,% College,Number of Households,"Households: Less than $2,500","Households: $2,500 to $4,999","Households: $5,000 to $7,499","Households: $7,500 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $49,999","Households: $50,000 to $74,999","Households: $75,000 or more","% Households: Less than $2,500","% Households: $2,500 to $4,999","% Households: $5,000 to $7,499","% Households: $7,500 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 or more"
,Education,Education,Education,Education,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Darke  ,31652,5579,26073,4960,0.176260584,0.823739416,0.156704158,18880,689,1460,1437,1529,1807,1631,1797,1610,1541,1155,964,663,998,559,531,379,130,3.65,7.73,7.61,8.1,9.57,8.64,9.52,8.53,8.16,6.12,5.11,3.51,5.29,2.96,2.81,2.01,0.69
Defiance  ,21614,3375,18239,4733,0.156148792,0.843851208,0.21897844,13310,369,795,933,825,985,919,1003,1026,1197,954,853,606,1157,572,659,318,139,2.77,5.97,7.01,6.2,7.4,6.9,7.54,7.71,8.99,7.17,6.41,4.55,8.69,4.3,4.95,2.39,1.04
Delaware  ,30218,3185,27033,9615,0.105400755,0.894599245,0.318187835,17588,497,947,1071,1176,1245,1183,1310,1374,1444,1198,1132,910,1470,909,931,584,207,2.83,5.38,6.09,6.69,7.08,6.73,7.45,7.81,8.21,6.81,6.44,5.17,8.36,5.17,5.29,3.32,1.18
Erie  ,46522,6479,40043,10839,0.139267443,0.860732557,0.232986544,27775,903,1868,2064,1967,1826,1695,2247,2021,2167,1803,1859,1318,2262,1281,1363,814,317,3.25,6.73,7.43,7.08,6.57,6.1,8.09,7.28,7.8,6.49,6.69,4.75,8.14,4.61,4.91,2.93,1.14
Fairfield  ,54372,7364,47008,12548,0.135437357,0.864562643,0.230780549,31806,892,2203,2306,2339,2389,2321,2614,2400,2748,2104,1872,1654,2377,1356,1225,760,246,2.8,6.93,7.25,7.35,7.51,7.3,8.22,7.55,8.64,6.62,5.89,5.2,7.47,4.26,3.85,2.39,0.77
Fayette  ,16281,3554,12727,2455,0.21829126,0.78170874,0.150789264,9688,519,1068,929,860,960,859,825,661,657,576,444,310,380,210,253,122,55,5.36,11.02,9.59,8.88,9.91,8.87,8.52,6.82,6.78,5.95,4.58,3.2,3.92,2.17,2.61,1.26,0.57
Franklin  ,490385,56135,434250,181905,0.114471283,0.885528717,0.370943238,323150,14616,25673,23217,25070,28100,23807,25333,22660,22642,19039,16870,14255,21873,13331,14548,8255,3861,4.52,7.94,7.18,7.76,8.7,7.37,7.84,7.01,7.01,5.89,5.22,4.41,6.77,4.13,4.5,2.55,1.19
Fulton  ,21074,3050,18024,4297,0.144728101,0.855271899,0.203900541,12533,404,883,734,832,1028,935,1012,955,1132,774,834,591,912,562,488,357,100,3.22,7.05,5.86,6.64,8.2,7.46,8.07,7.62,9.03,6.18,6.65,4.72,7.28,4.48,3.89,2.85,0.8
Gallia  ,17474,4829,12645,3039,0.276353439,0.723646561,0.173915532,10301,624,1107,951,879,1022,738,768,656,724,565,510,415,559,254,289,162,78,6.06,10.75,9.23,8.53,9.92,7.16,7.46,6.37,7.03,5.48,4.95,4.03,5.43,2.47,2.81,1.57,0.76
Geauga  ,42324,4782,37542,15665,0.11298554,0.88701446,0.370120972,22872,416,854,883,1058,1157,1171,1523,1513,1760,1487,1563,1294,2456,1644,2003,1398,692,1.82,3.73,3.86,4.63,5.06,5.12,6.66,6.62,7.69,6.5,6.83,5.66,10.74,7.19,8.76,6.11,3.03
Greene  ,72598,8045,64553,26050,0.110815725,0.889184275,0.358825312,43003,1501,2484,2253,2746,2919,2877,3246,3094,3117,2847,2801,2290,3813,2627,2647,1363,378,3.49,5.78,5.24,6.39,6.79,6.69,7.55,7.19,7.25,6.62,6.51,5.33,8.87,6.11,6.16,3.17,0.88
Guernsey  ,24999,4938,20061,4285,0.197527901,0.802472099,0.171406856,15043,714,1646,1402,1424,1490,1201,1232,1076,1220,734,837,443,660,402,310,179,73,4.75,10.94,9.32,9.47,9.9,7.98,8.19,7.15,8.11,4.88,5.56,2.94,4.39,2.67,2.06,1.19,0.49
Hamilton  ,511956,87605,424351,166913,0.171118221,0.828881779,0.326029971,322442,15688,28726,23557,23473,25652,21140,23491,21454,21604,17628,16947,14158,22255,14231,15791,11355,5292,4.87,8.91,7.31,7.28,7.96,6.56,7.29,6.65,6.7,5.47,5.26,4.39,6.9,4.41,4.9,3.52,1.64
Hancock  ,37196,3755,33441,10745,0.100951715,0.899048285,0.288875148,23150,594,1626,1709,1575,1740,1641,2097,1842,1873,1505,1408,1156,1589,944,893,724,234,2.57,7.02,7.38,6.8,7.52,7.09,9.06,7.96,8.09,6.5,6.08,4.99,6.86,4.08,3.86,3.13,1.01
Hardin  ,17855,3034,14821,3455,0.169924391,0.830075609,0.19350322,11186,609,1021,950,918,941,785,1046,809,868,545,592,489,689,337,378,169,40,5.44,9.13,8.49,8.21,8.41,7.02,9.35,7.23,7.76,4.87,5.29,4.37,6.16,3.01,3.38,1.51,0.36
Harrison  ,10905,2200,8705,1379,0.20174232,0.79825768,0.126455754,6263,281,607,564,588,530,491,526,497,380,357,350,294,353,174,173,85,13,4.49,9.69,9.01,9.39,8.46,7.84,8.4,7.94,6.07,5.7,5.59,4.69,5.64,2.78,2.76,1.36,0.21
Henry  ,16233,3069,13164,2838,0.189059324,0.810940676,0.174829052,9762,181,668,670,710,711,842,825,810,819,631,652,454,736,373,422,235,23,1.85,6.84,6.86,7.27,7.28,8.63,8.45,8.3,8.39,6.46,6.68,4.65,7.54,3.82,4.32,2.41,0.24
Highland  ,19848,4536,15312,2878,0.22853688,0.77146312,0.145002015,11967,650,1387,1323,1219,1182,1027,1116,799,792,513,516,311,425,223,243,175,66,5.43,11.59,11.06,10.19,9.88,8.58,9.33,6.68,6.62,4.29,4.31,2.6,3.55,1.86,2.03,1.46,0.55
Hocking  ,14117,2411,11706,2111,0.170786994,0.829213006,0.14953602,8594,416,878,779,807,911,721,851,644,689,441,446,272,302,197,144,80,16,4.84,10.22,9.06,9.39,10.6,8.39,9.9,7.49,8.02,5.13,5.19,3.16,3.51,2.29,1.68,0.93,0.19
Holmes  ,14887,5719,9168,1853,0.384160677,0.615839323,0.124471015,8151,450,620,756,665,941,647,628,592,661,408,404,271,441,248,207,147,65,5.52,7.61,9.27,8.16,11.54,7.94,7.7,7.26,8.11,5.01,4.96,3.32,5.41,3.04,2.54,1.8,0.8
Huron  ,30525,4596,25929,5838,0.150565111,0.849434889,0.191253071,18821,624,1344,1293,1480,1517,1436,1671,1362,1674,1272,1179,931,1166,750,631,343,148,3.32,7.14,6.87,7.86,8.06,7.63,8.88,7.24,8.89,6.76,6.26,4.95,6.2,3.98,3.35,1.82,0.79
Jackson  ,17815,4950,12865,2671,0.27785574,0.72214426,0.149929834,10681,614,1554,1180,976,1024,809,906,776,714,470,387,304,430,208,165,126,38,5.75,14.55,11.05,9.14,9.59,7.57,8.48,7.27,6.68,4.4,3.62,2.85,4.03,1.95,1.54,1.18,0.36
Jefferson  ,56118,11133,44985,9764,0.198385545,0.801614455,0.17399052,32713,1305,3075,2581,2394,2256,1994,2194,2070,2276,2082,2350,1660,2599,1407,1458,731,281,3.99,9.4,7.89,7.32,6.9,6.1,6.71,6.33,6.96,6.36,7.18,5.07,7.94,4.3,4.46,2.23,0.86
Knox  ,26710,4100,22610,5735,0.153500562,0.846499438,0.21471359,15922,716,1429,1448,1492,1507,1486,1554,1189,1146,859,742,523,680,377,438,258,78,4.5,8.98,9.09,9.37,9.46,9.33,9.76,7.47,7.2,5.4,4.66,3.28,4.27,2.37,2.75,1.62,0.49
Lake  ,124039,12242,111797,36454,0.098694765,0.901305235,0.293891437,71767,1415,2837,3198,3859,4328,4343,5081,5173,5961,5584,5242,4317,7096,4823,5171,2595,744,1.97,3.95,4.46,5.38,6.03,6.05,7.08,7.21,8.31,7.78,7.3,6.02,9.89,6.72,7.21,3.62,1.04
Lawrence  ,37086,8498,28588,5940,0.229143073,0.770856927,0.160168258,22105,1262,2557,2072,1873,1817,1488,1720,1618,1749,1339,1148,730,1235,670,482,253,92,5.71,11.57,9.37,8.47,8.22,6.73,7.78,7.32,7.91,6.06,5.19,3.3,5.59,3.03,2.18,1.14,0.42
Licking  ,69845,9388,60457,15831,0.134411912,0.865588088,0.226659031,42322,1497,3251,3144,3146,3400,3270,3203,2984,3297,3044,2597,2098,2942,1753,1541,770,385,3.54,7.68,7.43,7.43,8.03,7.73,7.57,7.05,7.79,7.19,6.14,4.96,6.95,4.14,3.64,1.82,0.91
Logan  ,23295,3273,20022,4028,0.140502254,0.859497746,0.172912642,14198,756,1249,1313,1192,1380,1314,1271,1119,979,751,741,495,654,389,326,162,107,5.32,8.8,9.25,8.4,9.72,9.25,8.95,7.88,6.9,5.29,5.22,3.49,4.61,2.74,2.3,1.14,0.75
Lorain  ,151868,21197,130671,36516,0.139575157,0.860424843,0.24044565,90654,3041,6004,5310,5457,5454,5305,6702,6884,7892,6366,6518,5014,7767,4832,4815,2681,612,3.35,6.62,5.86,6.02,6.02,5.85,7.39,7.59,8.71,7.02,7.19,5.53,8.57,5.33,5.31,2.96,0.68
Lucas  ,273410,42882,230528,79188,0.156841374,0.843158626,0.289630957,172488,7422,15605,13715,12340,13025,11107,12008,11308,12422,10054,9691,7939,12666,7939,7900,4988,2359,4.3,9.05,7.95,7.15,7.55,6.44,6.96,6.56,7.2,5.83,5.62,4.6,7.34,4.6,4.58,2.89,1.37
Madison  ,19133,3566,15567,3391,0.186379554,0.813620446,0.177233053,10598,413,715,809,800,965,793,814,781,863,770,572,532,683,362,433,226,67,3.9,6.75,7.63,7.55,9.11,7.48,7.68,7.37,8.14,7.27,5.4,5.02,6.44,3.42,4.09,2.13,0.63
Mahoning  ,176240,27821,148419,41771,0.157858602,0.842141398,0.237012029,102592,4669,9766,7469,7474,7292,6815,7845,7284,8362,6732,5974,4728,6798,4103,4014,2506,761,4.55,9.52,7.28,7.29,7.11,6.64,7.65,7.1,8.15,6.56,5.82,4.61,6.63,4,3.91,2.44,0.74
Marion  ,39496,6225,33271,8012,0.157610897,0.842389103,0.202855985,23807,838,2103,1729,1864,1758,1831,2273,1796,2064,1557,1355,1071,1470,735,703,502,158,3.52,8.83,7.26,7.83,7.38,7.69,9.55,7.54,8.67,6.54,5.69,4.5,6.17,3.09,2.95,2.11,0.66
Medina  ,63395,5904,57491,18936,0.093130373,0.906869627,0.298698636,35849,659,1442,1552,1841,2027,1894,2272,2646,3261,2715,2784,2263,3680,2302,2467,1652,392,1.84,4.02,4.33,5.14,5.65,5.28,6.34,7.38,9.1,7.57,7.77,6.31,10.27,6.42,6.88,4.61,1.09
Meigs  ,14006,3410,10596,1822,0.243467086,0.756532914,0.130087106,8421,468,1160,931,840,753,586,724,608,591,421,372,226,347,139,142,79,34,5.56,13.78,11.06,9.98,8.94,6.96,8.6,7.22,7.02,5,4.42,2.68,4.12,1.65,1.69,0.94,0.4
Mercer  ,20782,3644,17138,3371,0.175344048,0.824655952,0.16220768,12156,340,849,858,788,960,893,1080,956,1098,840,727,538,822,412,573,294,128,2.8,6.98,7.06,6.48,7.9,7.35,8.88,7.86,9.03,6.91,5.98,4.43,6.76,3.39,4.71,2.42,1.05
Miami  ,53336,7994,45342,11844,0.149880006,0.850119994,0.222063897,32026,1007,2255,2219,2355,2580,2477,2762,2477,2534,2043,1838,1643,2356,1322,1233,617,308,3.14,7.04,6.93,7.35,8.06,7.73,8.62,7.73,7.91,6.38,5.74,5.13,7.36,4.13,3.85,1.93,0.96
Monroe  ,10189,2421,7768,1318,0.237609186,0.762390814,0.129355187,5995,314,685,558,460,468,396,337,423,494,387,384,355,324,164,147,87,12,5.24,11.43,9.31,7.67,7.81,6.61,5.62,7.06,8.24,6.46,6.41,5.92,5.4,2.74,2.45,1.45,0.2
Montgomery  ,337699,48870,288829,105550,0.144714672,0.855285328,0.312556448,211967,8711,16785,15811,15689,17396,14861,15916,15382,15370,12109,11720,9511,15218,9573,9689,5666,2560,4.11,7.92,7.46,7.4,8.21,7.01,7.51,7.26,7.25,5.71,5.53,4.49,7.18,4.52,4.57,2.67,1.21
Morgan  ,8364,1752,6612,1111,0.209469154,0.790530846,0.132831181,4916,275,539,551,466,437,400,441,396,330,255,224,166,167,105,90,59,15,5.59,10.96,11.21,9.48,8.89,8.14,8.97,8.06,6.71,5.19,4.56,3.38,3.4,2.14,1.83,1.2,0.31
Morrow  ,14896,2336,12560,2234,0.156820623,0.843179377,0.149973147,8780,336,657,641,698,812,778,876,756,776,547,482,303,492,277,207,92,50,3.83,7.48,7.3,7.95,9.25,8.86,9.98,8.61,8.84,6.23,5.49,3.45,5.6,3.15,2.36,1.05,0.57
Muskingum  ,47885,8652,39233,8683,0.180682886,0.819317114,0.18133027,29334,1224,3066,2935,2625,2715,2368,2419,2038,2097,1599,1373,1127,1541,876,755,448,128,4.17,10.45,10.01,8.95,9.26,8.07,8.25,6.95,7.15,5.45,4.68,3.84,5.25,2.99,2.57,1.53,0.44
Noble  ,6577,1225,5352,849,0.186255132,0.813744868,0.12908621,3983,200,443,378,414,339,280,327,313,318,194,194,146,202,95,89,43,8,5.02,11.12,9.49,10.39,8.51,7.03,8.21,7.86,7.98,4.87,4.87,3.67,5.07,2.39,2.23,1.08,0.2
Ottawa  ,23996,3588,20408,5011,0.149524921,0.850475079,0.208826471,14118,329,885,936,1076,1071,991,1313,1070,1073,810,1027,716,1084,663,634,357,83,2.33,6.27,6.63,7.62,7.59,7.02,9.3,7.58,7.6,5.74,7.27,5.07,7.68,4.7,4.49,2.53,0.59
Paulding  ,11514,1931,9583,1540,0.167708876,0.832291124,0.133750217,7044,269,398,526,459,504,451,588,597,711,494,458,354,589,247,301,80,18,3.82,5.65,7.47,6.52,7.16,6.4,8.35,8.48,10.09,7.01,6.5,5.03,8.36,3.51,4.27,1.14,0.26
Perry  ,17207,3332,13875,2278,0.193642122,0.806357878,0.132387982,10546,482,1042,1106,891,1075,1050,916,767,771,594,548,317,397,306,161,102,21,4.57,9.88,10.49,8.45,10.19,9.96,8.69,7.27,7.31,5.63,5.2,3.01,3.76,2.9,1.53,0.97,0.2
Pickaway  ,25277,5376,19901,4274,0.212683467,0.787316533,0.169086521,14154,517,1089,1038,1066,1249,1118,1262,1185,1136,878,806,698,778,534,451,240,109,3.65,7.69,7.33,7.53,8.82,7.9,8.92,8.37,8.03,6.2,5.69,4.93,5.5,3.77,3.19,1.7,0.77
Pike  ,13044,3938,9106,2245,0.301901257,0.698098743,0.172109782,7747,464,1029,961,732,954,604,535,438,493,337,278,212,305,154,118,89,44,5.99,13.28,12.4,9.45,12.31,7.8,6.91,5.65,6.36,4.35,3.59,2.74,3.94,1.99,1.52,1.15,0.57
Portage  ,71301,8290,63011,19914,0.116267654,0.883732346,0.279294821,44321,1555,2995,2615,3092,3442,2875,3800,3467,3824,3003,2581,2347,3191,2060,1955,1142,377,3.51,6.76,5.9,6.98,7.77,6.49,8.57,7.82,8.63,6.78,5.82,5.3,7.2,4.65,4.41,2.58,0.85
Preble  ,22337,3733,18604,3706,0.167121816,0.832878184,0.165913059,13137,594,884,944,1007,1135,968,1185,983,1071,849,785,644,871,526,392,264,35,4.52,6.73,7.19,7.67,8.64,7.37,9.02,7.48,8.15,6.46,5.98,4.9,6.63,4,2.98,2.01,0.27
Putnam  ,17278,3112,14166,3119,0.180113439,0.819886561,0.180518579,10126,294,612,649,691,745,831,770,775,912,793,659,457,754,433,411,243,97,2.9,6.04,6.41,6.82,7.36,8.21,7.6,7.65,9.01,7.83,6.51,4.51,7.45,4.28,4.06,2.4,0.96
Richland  ,76431,12399,64032,16568,0.162224752,0.837775248,0.216770682,46213,1543,3642,3660,3722,3647,3763,3618,3669,3707,3220,2535,2145,3076,1631,1455,871,309,3.34,7.88,7.92,8.05,7.89,8.14,7.83,7.94,8.02,6.97,5.49,4.64,6.66,3.53,3.15,1.88,0.67
Ross  ,38887,8291,30596,7115,0.213207499,0.786792501,0.18296603,21992,938,1969,1785,1879,1947,1740,1934,1457,1745,1406,1079,758,1368,734,696,402,155,4.27,8.95,8.12,8.54,8.85,7.91,8.79,6.63,7.93,6.39,4.91,3.45,6.22,3.34,3.16,1.83,0.7
Sandusky  ,35617,5415,30202,7456,0.152034141,0.847965859,0.209338237,21601,549,1535,1539,1421,1637,1476,2026,1730,1728,1410,1409,1137,1783,777,830,476,138,2.54,7.11,7.12,6.58,7.58,6.83,9.38,8.01,8,6.53,6.52,5.26,8.25,3.6,3.84,2.2,0.64
Scioto  ,49803,13458,36345,8954,0.270224685,0.729775315,0.179788366,29683,1691,4011,3571,2741,2887,2325,2221,1748,1742,1491,1330,845,1325,604,622,377,152,5.7,13.51,12.03,9.23,9.73,7.83,7.48,5.89,5.87,5.02,4.48,2.85,4.46,2.03,2.1,1.27,0.51
Seneca  ,34483,5579,28904,7308,0.161789867,0.838210133,0.211930516,20790,744,1358,1530,1584,1756,1644,1761,1856,1896,1357,1304,1012,1283,717,620,258,110,3.58,6.53,7.36,7.62,8.45,7.91,8.47,8.93,9.12,6.53,6.27,4.87,6.17,3.45,2.98,1.24,0.53
Shelby  ,23720,3999,19721,4424,0.168591906,0.831408094,0.186509275,14251,471,1046,888,1072,1297,978,1378,1204,1196,1005,858,686,928,444,425,242,133,3.31,7.34,6.23,7.52,9.1,6.86,9.67,8.45,8.39,7.05,6.02,4.81,6.51,3.12,2.98,1.7,0.93
Stark  ,225842,34291,191551,51119,0.151836239,0.848163761,0.226348509,134036,4604,10002,9365,9664,10009,8502,10467,9835,11103,9246,8840,6907,9760,5827,5657,3055,1193,3.43,7.46,6.99,7.21,7.47,6.34,7.81,7.34,8.28,6.9,6.6,5.15,7.28,4.35,4.22,2.28,0.89
Summit  ,314078,41974,272104,93768,0.133641962,0.866358038,0.298550042,189876,6635,15378,13059,14025,14331,12858,14041,13085,14142,11669,11599,8695,14132,8775,9452,5640,2360,3.49,8.1,6.88,7.39,7.55,6.77,7.39,6.89,7.45,6.15,6.11,4.58,7.44,4.62,4.98,2.97,1.24
Trumbull  ,143492,20147,123345,31319,0.14040504,0.85959496,0.218263039,84037,2680,6084,5493,5748,5663,5219,6237,6011,6870,5337,5338,4331,6951,4468,4300,2380,927,3.19,7.24,6.54,6.84,6.74,6.21,7.42,7.15,8.17,6.35,6.35,5.15,8.27,5.32,5.12,2.83,1.1
Tuscarawas  ,50696,9584,41112,8365,0.189048446,0.810951554,0.165003156,30516,1057,2712,2728,2464,2788,2399,2612,2424,2547,2000,1703,1223,1627,861,771,448,152,3.46,8.89,8.94,8.07,9.14,7.86,8.56,7.94,8.35,6.55,5.58,4.01,5.33,2.82,2.53,1.47,0.5
Union  ,17081,2213,14868,3629,0.129559159,0.870440841,0.212458287,10030,425,698,642,620,801,776,1071,823,734,602,576,436,611,501,401,273,40,4.24,6.96,6.4,6.18,7.99,7.74,10.68,8.21,7.32,6,5.74,4.35,6.09,5,4,2.72,0.4
Van Wert  ,18045,2589,15456,3363,0.143474647,0.856525353,0.186367415,10949,357,782,699,789,813,925,955,895,997,774,695,503,781,428,314,188,54,3.26,7.14,6.38,7.21,7.43,8.45,8.72,8.17,9.11,7.07,6.35,4.59,7.13,3.91,2.87,1.72,0.49
Vinton  ,6590,1848,4742,701,0.280424886,0.719575114,0.106373293,3913,238,539,489,395,397,312,291,299,282,142,122,111,138,60,54,36,8,6.08,13.77,12.5,10.09,10.15,7.97,7.44,7.64,7.21,3.63,3.12,2.84,3.53,1.53,1.38,0.92,0.2
Warren  ,55405,10730,44675,12614,0.193664832,0.806335168,0.227668983,31677,866,1568,1804,1910,2097,1945,2346,2424,2857,2276,2551,1693,2930,1676,1645,839,250,2.73,4.95,5.69,6.03,6.62,6.14,7.41,7.65,9.02,7.19,8.05,5.34,9.25,5.29,5.19,2.65,0.79
Washington  ,37092,5719,31373,8517,0.154184191,0.845815809,0.229618247,22297,902,1965,1794,1728,2048,1766,1991,1854,1702,1312,1222,950,1354,609,587,380,133,4.05,8.81,8.05,7.75,9.19,7.92,8.93,8.32,7.63,5.88,5.48,4.26,6.07,2.73,2.63,1.7,0.6
